emotion,valence_min,valence_max,arousal_min,arousal_max
anger,-1.0,-0.75,0.6,1.0
sad,-1.0,-0.75,0.0,0.6
nervous,-0.75,-0.5,0.5,1.0
fear,-0.75,-0.5,0.2,0.5
skeptical,-0.75,-0.5,0.0,0.2
neutral,-0.5,-0.25,0.4,0.6
thoughtful,-0.5,-0.25,0.0,0.4
thoughtful,-0.5,-0.25,0.6,1.0
confident,-0.25,0.0,0.7,1.0
neutral,-0.25,0.0,0.4,0.7
nerd,-0.25,0.0,0.0,0.4
happy,0.0,0.25,0.6,1.0
neutral,0.0,0.25,0.4,0.6
thoughtful,0.0,0.25,0.0,0.4
loving,0.25,0.5,0.0,0.5
confident,0.25,0.5,0.5,0.75
excited,0.25,0.5,0.75,1.0
surprise,0.5,0.75,0.6,1.0
happy,0.5,0.75,0.3,0.6
loving,0.5,0.75,0.0,0.3
excited,0.75,1.0,0.6,1.0
happy,0.75,1.0,0.3,0.6
confident,0.75,1.0,0.0,0.3
